Class,Target,n_binder,AUROC_val,AUROC_prob,EF1_val,EF1_prob,Sep_val,Sep_prob
GPCR,ADRB1,12,0.9871632996632996,0.999368686868687,58.333333333333336,91.66666666666666,1.4660241936080898,2.7664622965700856
GPCR,AGTR1,23,0.9140039156292712,0.930294410993314,47.82608695652174,43.478260869565226,1.2910514929137298,1.527949870785448
GPCR,OX2R,12,0.9221380471380471,0.9445847362514028,25.0,25.0,1.0017716868337772,1.176971198504308
GPCR,OX1R,12,0.9120370370370372,0.9391133557800224,41.66666666666666,66.66666666666666,0.9808966551421404,1.2840798478281572
GPCR,MTNR1B,12,0.7237654320987654,0.8634960718294051,25.0,41.66666666666666,0.4939108406020028,0.8592133601891604
GPCR,DRD3,22,0.7462571384472912,0.8430699181972527,9.09090909090909,4.545454545454545,0.4696959056766536,0.7368632256228362
GPCR,CXCR4,12,0.6832912457912458,0.8233024691358025,8.333333333333332,0.0,0.3355007605286879,0.6647727000364506
GPCR,PTGER2,12,0.6830106621773289,0.5767396184062851,0.0,0.0,0.3152185415848133,0.1119761323770631
GPCR,CHRM3,12,0.619668911335578,0.7421436588103254,8.333333333333332,8.333333333333332,0.2623275809962561,0.4420663323770494
GPCR,HTR4,12,0.583543771043771,0.5938552188552189,0.0,0.0,0.1585292866754676,0.1469559848425129
GPCR,F2R,12,0.5798260381593714,0.6695426487093153,8.333333333333332,0.0,0.1518535265910486,0.2918433896014157
GPCR,HTR7,21,0.5496587099640534,0.7014015105618159,4.761904761904761,9.523809523809522,0.1348384822701498,0.3698576673127001
GPCR,HTR6,12,0.5331088664421998,0.5575196408529741,8.333333333333332,0.0,0.1152228096264496,0.0943582543010558
GPCR,GPR85,12,0.5375982042648709,0.5963103254769921,0.0,0.0,0.0764362072613648,0.1414318190820208
GPCR,SMO,12,0.5155022446689114,0.6416947250280582,0.0,0.0,-0.0003264010904588,0.227737167397429
GPCR,CCR2,14,0.4675379426644182,0.4496506865815466,0.0,0.0,-0.0108050535125069,-0.1288112300400011
GPCR,CCR3,10,0.4901680672268907,0.5360504201680673,0.0,0.0,-0.0236007786778869,0.0527961359180637
GPCR,GPR37L1,12,0.2849326599326599,0.4774831649831649,0.0,0.0,-0.3807059060446919,-0.0772784928770037
GPCR,CNR2,12,0.2948933782267115,0.2672558922558922,0.0,0.0,-0.3820741353120479,-0.4537745707494222
SLC,SLC6A4,12,0.7704194260485651,0.9125582536178564,16.32142857142857,0.0,0.5196232287946704,1.002628143330181
SLC,SLC18A2,12,0.7412935323383085,0.6260572139303482,24.142857142857142,24.142857142857142,0.4610957751628254,0.3060378728400857
SLC,SLC7A1,13,0.6927608474000226,0.6535062875269062,0.0,7.532967032967032,0.3533947410878334,0.261528594900792
SLC,SLC7A10,15,0.6753687315634218,0.6273844641101278,6.5285714285714285,0.0,0.3298377610862573,0.207941132765447
SLC,SLC19A3,12,0.6723216505095699,0.6258389261744967,0.0,8.053571428571429,0.3081407979019764,0.2412278120846612
SLC,SLC16A2,12,0.6390131742480736,0.629691772309222,0.0,0.0,0.2787412574695689,0.2417425840516046
SLC,SLC18B1,279,0.6476795778870368,0.7771848476369403,1.3876088069636456,3.1221198156682037,0.2661938925539689,0.548107360814269
SLC,SLC6A12,10,0.6249441548771407,0.444005956813105,9.664285714285716,0.0,0.2370400810657857,-0.1474436836638164
SLC,SLC7A14,12,0.6101913171449594,0.5215844984056904,8.160714285714285,0.0,0.1928327730183923,0.0299986087747043
SLC,SLC7A4,11,0.5941844919786096,0.452807486631016,8.9025974025974,8.9025974025974,0.1587474000137798,-0.0304822697154037
SLC,SLC18A3,12,0.5833955223880597,0.642226368159204,0.0,0.0,0.1373131924523933,0.2468764170770985
SLC,SLC6A13,12,0.5803286730439048,0.5711920529801324,0.0,0.0,0.1330115444203645,0.1083178150132549
SLC,SLC6A15,12,0.5726990049751244,0.6015547263681592,0.0,0.0,0.1185148958997913,0.1456200206904091
SLC,SLC6A7,12,0.5451155853840417,0.4850236142182451,0.0,0.0,0.0823078898920733,-0.0100314607076138
SLC,SLC29A3,10,0.5261549925484352,0.504769001490313,0.0,0.0,0.0143500661529065,-0.0099187938216643
SLC,SLC22A4,11,0.4804420039319368,0.4699342417463222,0.0,0.0,0.0027218485124693,-0.0523296520399128
SLC,SLC7A11,12,0.4732646553838607,0.6005028207014962,0.0,0.0,-0.0247590009151725,0.1372009566287324
SLC,SLC6A2,12,0.4171641791044775,0.6708955223880597,8.047619047619047,16.095238095238095,-0.0388964913445618,0.349359255457063
SLC,SLC6A6,10,0.4559882439382806,0.4899338721528288,0.0,0.0,-0.0414556335789919,-0.093181932492057
SLC,SLC2A7,12,0.4516169154228856,0.5264925373134328,0.0,0.0,-0.0845260496285164,-0.0432582169216716
SLC,SLC30A1,12,0.4224502487562189,0.6147388059701493,0.0,0.0,-0.1684234256673647,0.1744994586255554
SLC,SLC6A11,12,0.366813833701251,0.5564753495217072,0.0,0.0,-0.2539148131872435,0.0523282802457453
SLC,SLC16A14,12,0.3199004975124378,0.3947139303482587,0.0,0.0,-0.3290037934492902,-0.2316047869263093
GPCR,CB1R,12,0.8141835016835017,0.905513468013468,33.33333333333333,41.666666666666664,0.6407307246046844,0.9517816808710647
