Target,Class,binder_mean,binder_std,binder_max,nb_mean,nb_std,nb_95pct,Sep,binder_top_margin,iptm,conf,boltz_pKd
SLC6A4,SLC,-0.0337421956161657,0.6407942947573285,1.136826515197754,-0.7308809051922001,0.7008291565135717,0.4451525062322602,0.5196232287946704,0.6916740089654936,0.9695475796858469,0.8880553394556046,0.11243544084330398
SLC18A2,SLC,0.1150876258810361,0.7184855930401008,1.0952682495117188,-0.4535859303111071,0.5148233783798373,0.4230257242918014,0.4610957751628254,0.6722425252199173,0.9056332111358643,0.7637757956981659,0.33645998624463874
SLC7A1,SLC,-0.5244471717339295,0.1972267070371087,-0.0272888988256454,-0.7807682409247491,0.5280842254397076,0.1363600432872764,0.3533947410878334,-0.1636489421129218,0.8672590897633479,0.8375834822654724,-0.41204681304784924
SLC7A10,SLC,-0.2876176342368126,0.6291217056453393,0.9446911215782166,-0.6865571642604967,0.5803805924234247,0.3077904880046844,0.3298377610862573,0.6369006335735321,0.8936590909957886,0.8355796416600545,-0.31319616238276166
SLC19A3,SLC,0.0230887066572904,0.534098565009956,1.1117740869522097,-0.3296620825820899,0.6106728889524464,0.7324533462524414,0.3081407979019764,0.3793207406997683,0.928435613711675,0.7978742221991221,0.12255931521455447
SLC16A2,SLC,-0.240544360751907,0.5781278887875541,0.6917381286621094,-0.5573052725901217,0.5582697679992118,0.3515514135360718,0.2787412574695689,0.3401867151260376,0.9482865879933039,0.7820953875780106,-0.3973887786269188
SLC18B1,SLC,0.0920056179966977,0.5008240833875193,1.4274874925613403,-0.196195730596753,0.5818504506836188,0.780573844909668,0.2661938925539689,0.6469136476516724,0.9324939477400968,0.828182061513265,0.12048828855530763
SLC6A12,SLC,-0.849160485714674,0.8924195435716995,1.015810251235962,-1.2110544066510025,0.6343008292410822,-0.0946713954210295,0.2370400810657857,1.1104816466569911,0.8201176881790161,0.8235371291637421,-0.7225963249802589
SLC7A14,SLC,-0.6899120211601257,0.6229534707289288,0.8121250867843628,-0.9240469889807144,0.5912331229485727,0.0971068888902661,0.1928327730183923,0.7150181978940967,0.7975335518519083,0.7205287466446558,-0.6752474022408327
SLC7A4,SLC,-0.5069828968156468,0.5514682242413339,0.6888868808746338,-0.688099274061182,0.5894410267436502,0.3221052691340439,0.1587474000137798,0.3667816117405899,0.8153386224399913,0.7977542281150818,-0.34786858138712967
SLC18A3,SLC,-0.2881454766417543,0.3676162713966815,0.334084153175354,-0.4112524147909969,0.5289249563657124,0.506613427400589,0.1373131924523933,-0.172529274225235,0.9119152873754501,0.7178374330202738,-0.19964453019201756
SLC6A13,SLC,-1.1569754506150882,0.5426810719245976,0.1164312660694122,-1.311681332514841,0.6204200902634496,-0.1733812168240551,0.1330115444203645,0.2898124828934673,0.864949494600296,0.8344170997540156,-1.0904144048690796
SLC6A15,SLC,-0.6677504604061445,0.2831819774565379,-0.260143369436264,-0.7752965378658428,0.624265788017875,0.2988754898309705,0.1185148958997913,-0.5590188592672345,0.9276228894790014,0.7847899893919627,-0.6272679766019186
SLC6A7,SLC,-0.7754686449964842,0.4711065408108448,0.2044654935598373,-0.8651924324843485,0.6189929333163037,0.2212672531604766,0.0823078898920733,-0.0168017596006392,0.9194506804148356,0.8148176173369089,-0.7502890353401502
SLC29A3,SLC,-0.4200851008296012,0.3360897179724138,0.1946556866168975,-0.4321453855518701,0.5043443674011993,0.4853745594620705,0.0143500661529065,-0.290718872845173,0.9209791600704194,0.8261116802692413,-0.3876173794269562
SLC22A4,SLC,-0.3001450022513215,0.5625097833411608,1.0088659524917605,-0.3032127065510446,0.5645567251986394,0.651646614074707,0.0027218485124693,0.3572193384170534,0.9243683815002441,0.8342797431078824,-0.3153305859728293
SLC7A11,SLC,-0.672494330133001,0.5801895383555324,0.5578859448432922,-0.6429588258721488,0.6127303359982226,0.4145503818988799,-0.0247590009151725,0.1433355629444123,0.8793294330437978,0.8408623139063517,-0.5456416433056195
SLC6A2,SLC,-0.8869938279191653,1.063069753506711,1.206216812133789,-0.8207953434062204,0.6388442810145578,0.2383964873850343,-0.0388964913445618,0.9678203247487548,0.9534924576679865,0.8924280454715093,-0.9531272053718567
SLC6A6,SLC,-0.9816440381109716,0.7652407913310392,0.4065365791320801,-0.9223329004414876,0.6654727824096405,0.1867194026708603,-0.0414556335789919,0.2198171764612198,0.8792871177196503,0.8343993425369263,-0.9549091085791588
SLC2A7,SLC,-0.8715515717243155,0.4031972434885069,-0.0584647171199321,-0.7910187354464251,0.5495603576513094,0.1443131670355793,-0.0845260496285164,-0.2027778841555114,0.8845289548238119,0.8372648408015569,-0.8283624437948068
SLC30A1,SLC,-0.6364274218988916,0.3773587061635347,-0.0159736666828393,-0.4820560597286407,0.5392083423842925,0.4749329715967177,-0.1684234256673647,-0.490906638279557,0.6897323777278265,0.581511323650678,-0.6095180722574393
SLC6A11,SLC,-1.4780387704571087,0.5544229511927417,-0.4769646227359772,-1.182691857997243,0.608750275105281,-0.1402586802840242,-0.2539148131872435,-0.3367059424519529,0.8780025492111841,0.841325064500173,-1.3899133602778118
SLC16A14,SLC,-1.030173897743225,0.4660706222805542,-0.235268235206604,-0.6872503721676488,0.5762381060789303,0.3087433755397796,-0.3290037934492902,-0.5440116107463837,0.9125842054684957,0.7892751346031824,-1.0798718159397442
