Target,n_binder,n_nonbinder,binder_mean,binder_std,binder_max,nb_mean,nb_std,nb_5pct,nb_95pct,Sep,binder_top_margin,r,AUROC,EF@0.5%,EF@1%,VS_success
SLC6A4,12,1359,-0.0337421956161657,0.6407942947573285,1.136826515197754,-0.7308809051922001,0.7008291565135717,-1.84,0.4451525062322602,0.5196232287946704,0.6916740089654936,,0.77,0.0,16.3,True
SLC18A2,12,1340,0.1150876258810361,0.7184855930401008,1.0952682495117188,-0.4535859303111071,0.5148233783798373,-1.25,0.4230257242918014,0.4610957751628254,0.6722425252199173,0.632,0.741,32.2,24.1,True
SLC7A1,13,1358,-0.5244471717339295,0.1972267070371087,-0.0272888988256454,-0.7807682409247491,0.5280842254397076,-1.619,0.1363600432872764,0.3533947410878334,-0.1636489421129218,,0.693,0.0,0.0,False
SLC7A10,15,1356,-0.2876176342368126,0.6291217056453393,0.9446911215782166,-0.6865571642604967,0.5803805924234247,-1.633,0.3077904880046844,0.3298377610862573,0.6369006335735321,,0.675,13.1,6.5,False
SLC19A3,12,1341,0.0230887066572904,0.534098565009956,1.1117740869522097,-0.3296620825820899,0.6106728889524464,-1.256,0.7324533462524414,0.3081407979019764,0.3793207406997683,-0.143,0.672,0.0,0.0,False
SLC16A2,12,1341,-0.240544360751907,0.5781278887875541,0.6917381286621094,-0.5573052725901217,0.5582697679992118,-1.462,0.3515514135360718,0.2787412574695689,0.3401867151260376,0.707,0.639,0.0,0.0,False
SLC18B1,279,1076,0.0920056179966977,0.5008240833875193,1.4274874925613403,-0.196195730596753,0.5818504506836188,-1.093,0.780573844909668,0.2661938925539689,0.6469136476516724,0.199,0.648,1.4,1.4,False
SLC6A12,10,1343,-0.849160485714674,0.8924195435716995,1.015810251235962,-1.2110544066510025,0.6343008292410822,-2.153,-0.0946713954210295,0.2370400810657857,1.1104816466569911,0.684,0.625,19.3,9.7,False
SLC7A14,12,1359,-0.6899120211601257,0.6229534707289288,0.8121250867843628,-0.9240469889807144,0.5912331229485727,-1.845,0.0971068888902661,0.1928327730183923,0.7150181978940967,,0.61,16.3,8.2,False
SLC7A4,11,1360,-0.5069828968156468,0.5514682242413339,0.6888868808746338,-0.688099274061182,0.5894410267436502,-1.643,0.3221052691340439,0.1587474000137798,0.3667816117405899,,0.594,0.0,8.9,False
SLC18A3,12,1340,-0.2881454766417543,0.3676162713966815,0.334084153175354,-0.4112524147909969,0.5289249563657124,-1.223,0.506613427400589,0.1373131924523933,-0.172529274225235,0.085,0.583,0.0,0.0,False
SLC6A13,12,1359,-1.1569754506150882,0.5426810719245976,0.1164312660694122,-1.311681332514841,0.6204200902634496,-2.229,-0.1733812168240551,0.1330115444203645,0.2898124828934673,,0.58,0.0,0.0,False
SLC6A15,12,1340,-0.6677504604061445,0.2831819774565379,-0.260143369436264,-0.7752965378658428,0.624265788017875,-1.764,0.2988754898309705,0.1185148958997913,-0.5590188592672345,-0.2,0.573,0.0,0.0,False
SLC6A7,12,1341,-0.7754686449964842,0.4711065408108448,0.2044654935598373,-0.8651924324843485,0.6189929333163037,-1.848,0.2212672531604766,0.0823078898920733,-0.0168017596006392,0.393,0.545,0.0,0.0,False
SLC29A3,10,1342,-0.4200851008296012,0.3360897179724138,0.1946556866168975,-0.4321453855518701,0.5043443674011993,-1.162,0.4853745594620705,0.0143500661529065,-0.290718872845173,0.534,0.526,0.0,0.0,False
SLC22A4,11,1341,-0.3001450022513215,0.5625097833411608,1.0088659524917605,-0.3032127065510446,0.5645567251986394,-1.213,0.651646614074707,0.0027218485124693,0.3572193384170534,-0.446,0.48,0.0,0.0,False
SLC7A11,12,1359,-0.672494330133001,0.5801895383555324,0.5578859448432922,-0.6429588258721488,0.6127303359982226,-1.624,0.4145503818988799,-0.0247590009151725,0.1433355629444123,,0.473,0.0,0.0,False
SLC6A2,12,1340,-0.8869938279191653,1.063069753506711,1.206216812133789,-0.8207953434062204,0.6388442810145578,-1.843,0.2383964873850343,-0.0388964913445618,0.9678203247487548,0.557,0.417,16.1,8.0,False
SLC6A6,10,1361,-0.9816440381109716,0.7652407913310392,0.4065365791320801,-0.9223329004414876,0.6654727824096405,-1.937,0.1867194026708603,-0.0414556335789919,0.2198171764612198,,0.456,0.0,0.0,False
SLC2A7,12,1340,-0.8715515717243155,0.4031972434885069,-0.0584647171199321,-0.7910187354464251,0.5495603576513094,-1.623,0.1443131670355793,-0.0845260496285164,-0.2027778841555114,0.607,0.452,0.0,0.0,False
SLC30A1,12,1340,-0.6364274218988916,0.3773587061635347,-0.0159736666828393,-0.4820560597286407,0.5392083423842925,-1.321,0.4749329715967177,-0.1684234256673647,-0.490906638279557,-0.664,0.422,0.0,0.0,False
SLC6A11,12,1359,-1.4780387704571087,0.5544229511927417,-0.4769646227359772,-1.182691857997243,0.608750275105281,-2.11,-0.1402586802840242,-0.2539148131872435,-0.3367059424519529,,0.367,0.0,0.0,False
SLC16A14,12,1340,-1.030173897743225,0.4660706222805542,-0.235268235206604,-0.6872503721676488,0.5762381060789303,-1.645,0.3087433755397796,-0.3290037934492902,-0.5440116107463837,-0.561,0.32,0.0,0.0,False
